Wine,Alcohol,Ash,Acl,Flavanoids,Nonflavanoidphenols,Colorint
2,12.37,2.56,18.1,2.65,0.37,4.6
2,13.11,1.7,15,3.18,0.26,5.3
2,12.37,1.92,19.6,2,0.27,4.68
2,13.34,2.36,17,1.3,0.55,3.17
2,12.21,1.75,16.8,1.28,0.14,2.85
2,12.29,2.21,20.4,1.02,0.37,3.05
2,13.86,2.67,25,2.86,0.21,3.38
2,13.49,2.24,24,1.84,0.27,3.74
2,12.99,2.6,30,2.89,0.21,3.35
2,11.96,2.3,21,2.14,0.13,3.21
2,11.66,1.92,16,1.57,0.34,3.8
2,13.03,1.71,16,2.03,0.24,4.6
2,11.84,2.23,18,1.32,0.43,2.65
2,12.33,1.95,14.8,1.85,0.35,3.4
2,12.7,2.4,23,2.55,0.43,2.57
2,12,2,19,2.26,0.3,2.5
2,12.72,2.2,18.8,2.53,0.26,3.9
2,12.08,2.51,24,1.58,0.4,2.2
2,13.05,2.32,22.5,1.59,0.61,4.8
2,11.84,2.58,18,2.21,0.22,3.05
2,12.67,2.24,18,1.94,0.3,2.62
2,12.16,2.31,22.8,1.69,0.43,2.45
2,11.65,2.62,26,1.61,0.4,2.6
2,11.64,2.46,21.6,1.69,0.48,2.8
2,12.08,2.3,23.6,1.59,0.42,1.74
2,12.08,2.32,18.5,1.5,0.52,2.4
2,12,2.42,22,1.25,0.5,3.6
2,12.69,2.26,20.7,1.46,0.58,3.05
2,12.29,2.22,18,2.25,0.25,2.15
2,11.62,2.28,18,2.26,0.17,3.25
2,12.47,2.2,19,2.27,0.32,2.6
2,11.81,2.74,21.5,0.99,0.14,2.5
2,12.29,1.98,16,2.5,0.29,2.9
2,12.37,2.1,18.5,3.75,0.24,4.5
2,12.29,2.21,18,2.99,0.45,2.3
2,12.08,1.7,17.5,2.17,0.26,3.3
2,12.6,1.9,18.5,1.36,0.29,2.45
2,12.34,2.46,21,2.11,0.34,2.8
2,11.82,1.88,19.5,1.64,0.37,2.06
2,12.51,1.98,20.5,1.92,0.32,2.94
2,12.42,2.27,22,1.84,0.66,2.7
2,12.25,2.12,19,2.03,0.37,3.4
2,12.72,2.28,22.5,1.76,0.48,3.3
2,12.22,1.94,19,2.04,0.39,2.7
2,11.61,2.7,20,2.92,0.29,2.65
2,11.46,1.82,19.5,2.58,0.24,2.9
2,12.52,2.17,21,2.27,0.26,2
2,11.76,2.92,20,2.03,0.6,3.8
2,11.41,2.5,21,2.01,0.42,3.08
2,12.08,2.5,22.5,2.29,0.43,2.9
2,11.03,2.2,21.5,2.17,0.52,1.9
2,11.82,1.99,20.8,1.6,0.3,1.95
2,12.42,2.19,22.5,2.09,0.34,2.06
2,12.77,1.98,16,1.25,0.43,3.4
2,12,2,19,1.64,0.37,1.28
2,11.45,2.42,20,2.79,0.32,3.25
2,11.56,3.23,28.5,5.08,0.47,6
2,12.42,2.73,26.5,2.13,0.43,2.08
2,13.05,2.13,21.5,2.65,0.3,2.6
2,11.87,2.39,21,3.03,0.21,2.8
2,12.07,2.17,21,2.65,0.37,2.76
2,12.43,2.29,21.5,3.15,0.39,3.94
2,11.79,2.78,28.5,2.24,0.58,3
2,12.37,2.3,24.5,2.45,0.4,2.12
2,12.04,2.38,22,1.75,0.42,2.6
3,12.86,2.32,18,1.25,0.21,4.1
3,12.88,2.4,20,1.22,0.24,5.4
3,12.81,2.4,24,1.09,0.27,5.7
3,12.7,2.36,21.5,1.2,0.17,5
3,12.51,2.25,17.5,0.58,0.6,5.45
3,12.6,2.2,18.5,0.66,0.63,7.1
3,12.25,2.54,21,0.47,0.53,3.85
3,12.53,2.64,25,0.6,0.63,5
3,13.49,2.19,19.5,0.48,0.58,5.7
3,12.84,2.61,24,0.6,0.53,4.92
3,12.93,2.7,21,0.5,0.53,4.6
3,13.36,2.35,20,0.5,0.37,5.6
3,13.52,2.72,23.5,0.52,0.5,4.35
3,13.62,2.35,20,0.8,0.47,4.4
3,12.25,2.2,18.5,0.78,0.29,8.21
3,13.16,2.15,21,0.55,0.43,4
3,13.88,2.23,20,0.34,0.4,4.9
3,12.87,2.48,21.5,0.65,0.47,7.65
3,13.32,2.38,21.5,0.76,0.45,8.42
3,13.08,2.36,21.5,1.39,0.34,9.4
3,13.5,2.62,24,1.57,0.22,8.6
3,12.79,2.48,22,1.36,0.24,10.8
3,13.11,2.75,25.5,1.28,0.26,7.1
3,13.23,2.28,18.5,0.83,0.61,10.52
3,12.58,2.1,20,0.58,0.53,7.6
3,13.17,2.32,22,0.63,0.61,7.9
3,13.84,2.38,19.5,0.83,0.48,9.01
3,12.45,2.64,27,0.58,0.63,7.5
3,14.34,2.7,25,1.31,0.53,13
3,13.48,2.64,22.5,1.1,0.52,11.75
3,12.36,2.38,21,0.92,0.5,7.65
3,13.69,2.54,20,0.56,0.5,5.88
3,12.85,2.58,22,0.6,0.6,5.58
3,12.96,2.35,18.5,0.7,0.4,5.28
3,13.78,2.3,22,0.68,0.41,9.58
3,13.73,2.26,22.5,0.47,0.52,6.62
3,13.45,2.6,23,0.92,0.43,10.68
3,12.82,2.3,19.5,0.66,0.4,10.26
3,13.58,2.69,24.5,0.84,0.39,8.66
3,13.4,2.86,25,0.96,0.27,8.5
3,12.2,2.32,19,0.49,0.4,5.5
3,12.77,2.28,19.5,0.51,0.48,9.899999
3,14.16,2.48,20,0.7,0.44,9.7
3,13.71,2.45,20.5,0.61,0.52,7.7
3,13.4,2.48,23,0.75,0.43,7.3
3,13.27,2.26,20,0.69,0.43,10.2
3,13.17,2.37,20,0.68,0.53,9.3
3,14.13,2.74,24.5,0.76,0.56,9.2
